team,year,num_allstar,avg_age,oast_dast,fgp,tpp,win_ratio
ATL,2012,0,27.3,1.098655,0.464,0.371,0.537
BOS,2012,2,27.5,1.055556,0.465,0.358,0.506
CHI,2012,2,27.9,1.223404,0.437,0.353,0.549
CHR,2012,0,26.1,0.7667984,0.425,0.335,0.256
CLE,2012,1,25.4,0.8661088,0.434,0.346,0.293
DAL,2012,0,28.7,1.054545,0.462,0.372,0.500
DEN,2012,0,24.9,1.033898,0.478,0.343,0.695
DET,2012,0,25.7,0.9464286,0.449,0.356,0.354
GSW,2012,1,25.7,0.9574468,0.458,0.403,0.573
HOU,2012,1,24.5,1.022026,0.461,0.366,0.549
IND,2012,1,25.8,1.057292,0.436,0.347,0.605
LAC,2012,2,29.3,1.081448,0.478,0.358,0.683
LAL,2012,2,28.7,0.9487179,0.458,0.355,0.549
MEM,2012,1,26.1,1.071795,0.444,0.345,0.683
MIA,2012,3,31.2,1.138614,0.496,0.396,0.805
MIL,2012,0,27.4,0.991342,0.435,0.360,0.463
MIN,2012,0,26.1,1.004484,0.439,0.305,0.378
NJN,2012,0,27.9,0.9485981,0.450,0.357,0.598
NOH,2012,0,24.7,0.8974359,0.448,0.363,0.329
NYK,2012,2,31.5,1.0,0.448,0.376,0.659
OKC,2012,2,26.1,1.043902,0.481,0.377,0.732
ORL,2012,0,25.4,0.9620253,0.448,0.329,0.244
PHI,2012,1,26.3,1.0,0.444,0.360,0.415
PHO,2012,0,26.5,0.9912281,0.443,0.330,0.305
POR,2012,1,24.7,0.9198312,0.448,0.353,0.402
SAC,2012,0,25.8,0.8286853,0.447,0.363,0.341
SAS,2012,2,27.9,1.172897,0.481,0.376,0.707
TOR,2012,0,26.1,0.9817352,0.446,0.343,0.415
UTA,2012,0,26.2,1.101942,0.454,0.366,0.524
WAS,2012,0,26.1,1.004651,0.435,0.365,0.354
